Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Afghanistan,AFG,1990,299.4773088832807,250.36290974237468,46.44658943828465,5.616442030749176
Chile,CHL,1990,56.97556933998264,20.929011303513583,35.493241507856396,0.7452261081926277
Chile,CHL,1991,52.32062636800122,18.57736138383049,33.22454883536464,0.6981615560163739
Chile,CHL,1992,49.65198458875703,17.12575969385942,32.03336652030122,0.662678714422305
Chile,CHL,1993,49.78947006186705,16.56168534886272,32.72798296076924,0.6708878976431829
Chile,CHL,1994,48.85951165991648,15.673337274190883,32.70330096929427,0.6467418136982129
Chile,CHL,1995,47.921419974508666,14.787104463849268,32.66178863768084,0.6310419706018767
Chile,CHL,1996,46.368291146815636,13.576922217392726,32.329609734384455,0.616551861100293
Chile,CHL,1997,44.35417527919687,12.326264539915341,31.559123594159725,0.6260233399006452
Chile,CHL,1998,43.203484724525026,11.299432678861365,31.40376454765184,0.6676850364682593
Chile,CHL,1999,41.710842391191456,10.416584308812054,30.771752140057863,0.6967759309418108
Chile,CHL,2000,37.92683226275185,9.109185689332286,28.303360686077937,0.6844309355041455
Chile,CHL,2001,37.43188460826191,8.581040332960201,28.301427888677445,0.7308155339033714
Chile,CHL,2002,35.072149273734404,7.672000639272182,26.840956318313772,0.7427990507780626
Chile,CHL,2003,34.60585842167646,7.139055618988817,26.859556733449097,0.804776176035578
Chile,CHL,2004,33.756746628859226,6.636937409444174,26.470245474937737,0.858878477385954
Chile,CHL,2005,32.070629210357446,6.0627336462286685,25.34331439965928,0.8768694362301651
Chile,CHL,2006,30.990583552647465,5.511193587092539,24.808247474919032,0.8854948439696395
Chile,CHL,2007,30.53130004482605,5.129438638925389,24.70600932112007,0.9177854645510078
Chile,CHL,2008,28.879846144461705,4.637810062942623,23.55613942053307,0.9042579499165185
Chile,CHL,2009,29.436590842213768,4.475284461961485,24.221867450726936,0.9739462279616626
Chile,CHL,2010,29.424037730851513,4.2363634558525165,24.398330191769954,1.0382960020631704
Chile,CHL,2011,28.701417026407242,3.752297685421127,24.154731314138623,1.0492510617481483
Chile,CHL,2012,27.314750376093922,3.5950451792766804,22.909902079535513,1.0591379429660857
Chile,CHL,2013,26.58921404418155,3.420250118645714,22.34178251163225,1.0749575252788175
Chile,CHL,2014,25.317217059000075,3.2099549058561907,21.276258892826007,1.0743804418180902
